designation,winery,points
,181,84
,1850,91
,1850,86
,1850,91
Una Notte,:Nota Bene,87
Stillwater Creek Vineyard,:Nota Bene,91
Arianses Vineyard,:Nota Bene,88
Heart of the Hill Vineyard,:Nota Bene,87
Stillwater Creek Vineyard,:Nota Bene,86
StoneTree Vineyard,:Nota Bene,88
Ciel du Cheval Vineyard,:Nota Bene,91
Ciel du Cheval Vineyard,:Nota Bene,90
,:Nota Bene,85
,:Nota Bene,89
Ciel du Cheval,:Nota Bene,86
Miscela,:Nota Bene,87
Ciel du Cheval Vineyard,:Nota Bene,87
Heart of the Hill,:Nota Bene,85
Abbinare,:Nota Bene,88
Dineen Vineyard,:Nota Bene,91
Conner Lee Vineyard,:Nota Bene,91
Ciel du Cheval Vineyard,:Nota Bene,88
Conner Lee Vineyard,:Nota Bene,87
,:Nota Bene,88
Ciel du Cheval Vineyard,:Nota Bene,87
LVdM Vineyard,:Nota Bene,92
Heart of the Hill Vineyard,:Nota Bene,87
Conner Lee Vineyard,:Nota Bene,90
Dineen Vineyard,:Nota Bene,91
Conner Lee Vineyard,:Nota Bene,91
,:Nota Bene,91
Ciel du Cheval Vineyard,:Nota Bene,88
Una Notte,:Nota Bene,87
Dineen Vineyard,:Nota Bene,86
Verhey Vineyard,:Nota Bene,87
Conner Lee Vineyard Red,:Nota Bene,92
Una Notte,:Nota Bene,88
Conner Lee Vineyard,:Nota Bene,90
Ciel du Cheval Vineyard,:Nota Bene,87
Arianses Vineyard,:Nota Bene,88
,:Nota Bene,89
Ciel du Cheval Vineyard,:Nota Bene,88
Ciel du Cheval Vineyard,:Nota Bene,88
Una Notte,:Nota Bene,89
Ciel du Cheval Vineyard,:Nota Bene,88
Miscela,:Nota Bene,87
Ciel du Cheval Vineyard,:Nota Bene,88
Heart of the Hill,:Nota Bene,87
,:Nota Bene,85
Miscela,:Nota Bene,87
Arianses Vineyard,:Nota Bene,88
,:Nota Bene,88
Una Notte,:Nota Bene,88
Una Notte,:Nota Bene,89
Heart of the Hill,:Nota Bene,86
Conner Lee Vineyard,:Nota Bene,88
Una Notte,:Nota Bene,86
Verhey Vineyard,:Nota Bene,86
Ciel du Cheval,:Nota Bene,86
Miscela,:Nota Bene,90
Conner Lee Vineyard,:Nota Bene,88
Ciel du Cheval Vineyard,:Nota Bene,91
Arianses Vineyard,:Nota Bene,88
Verhey Vineyard,:Nota Bene,89
Conner Lee Vineyard,:Nota Bene,88
Una Notte,:Nota Bene,89
Una Note,:Nota Bene,86
Ros̩,1+1=3,86
Ros̩,1+1=3,82
Cygnus Brut Nature Reserva Made With Organic Grapes,1+1=3,89
Brut,1+1=3,87
Cygnus Brut Nature Reserva Made With Organic Grapes,1+1=3,89
Brut,1+1=3,87
,10 Knots,84
Moonraker,10 Knots,81
,10 Knots,85
Beachcomber,10 Knots,83
All Profits to Charity,100 Percent Wine,84
All Profits to Charity,100 Percent Wine,89
,100 Percent Wine,86
Bourbon Barrel Aged,1000 Stories,91
Bourbon Barrel Aged Batch No 13,1000 Stories,90
,1070 Green,88
,10Span,83
,10Span,83
,10Span,85
,10Span,83
Reserva,12 Linajes,91
Reserva,12 Linajes,92
,12 Linajes,88
Reserva,12 Linajes,92
Reserva,12 Linajes,92
,12 Linajes,87
,12 Linajes,89
Crianza,12 Linajes,88
Beckstoffer Vineyard  Georges III,12C Wines,90
Beckstoffer Vineyard Georges III,12C Wines,93
Beckstoffer Vineyard Georges III G3,12C Wines,93
G3 Beckstoffer Vineyard Georges III,12C Wines,93
G3 Beckstoffer Vineyard Georges III,12C Wines,94
,13 Celsius,87
,14 Hands,88
The Reserve,14 Hands,90
The Reserve,14 Hands,90
,14 Hands,87
